id,key,migration,population,migration_percent
6001,Alameda,18430,1608868,1.15
6013,Contra Costa,11125,1108996,1.00
6041,Marin,1648,260516,0.63
6055,Napa,911,141097,0.65
6075,San Francisco,8117,850424,0.95
6081,San Mateo,3888,756819,0.51
6085,Santa Clara,10014,1889824,0.53
6095,Solano,3814,429601,0.89
6097,Sonoma,3560,499168,0.71
