id,key,migration,population,migration_percent
6001,Alameda,12980,1555542,0.83
6013,Contra Costa,7942,1078242,0.74
6041,Marin,93,256064,0.04
6055,Napa,676,138898,0.49
6075,San Francisco,8939,828816,1.08
6081,San Mateo,5953,739982,0.80
6085,Santa Clara,11377,1838988,0.62
6095,Solano,1518,419881,0.36
6097,Sonoma,2098,490509,0.43
