id,key,migration,population,migration_percent
6001,Alameda,15466,1581226,0.98
6013,Contra Costa,10572,1094030,0.97
6041,Marin,2060,258506,0.80
6055,Napa,954,140102,0.68
6075,San Francisco,7364,839280,0.88
6081,San Mateo,4821,748952,0.64
6085,Santa Clara,12503,1866961,0.67
6095,Solano,2119,423972,0.50
6097,Sonoma,3148,494657,0.64
